zone,model,x_label,y_label,method,r_squared,nrmse_by_sd,nrmse_by_raw_y_range,mean_buffer_width_by_sd,buffer_width95_by_sd
CD,LPJ-GUESS,P,E_soil,Symbolic regression,0.27557478406273606,0.8510907939623998,0.1198147668765788,0.5946001831394696,3.377179234203442
CD,CLASSIC,LAI,E_soil,Equal-width bins,0.17095105209713302,0.6959414104564492,0.1761406727866343,0.5620326332925216,2.4873049200902635
CD,CLASSIC,LAI,E_soil,Equal-count bins,0.7268817393430352,0.5177734560427862,0.1310469006846725,0.3701619982688288,2.16052395077959
CD,CLASSIC,LAI,E_soil,LOWESS,0.7328822276133304,0.5168151554894423,0.13080435770380996,0.37488460704028687,2.1121082884112945
CD,CLASSIC,LAI,E_soil,Polynomial degree 3,0.5452811552001408,0.6743033620964463,0.1706641479834603,0.5637549793582816,2.364640441097795
CD,CLASSIC,LAI,E_soil,GAM,0.6621869224318969,0.5811952787263527,0.1470987727948709,0.48255448001381124,2.212789594232153
CD,CLASSIC,LAI,E_soil,Piecewise linear,0.6442962507759264,0.5963868652256219,0.15094371753658792,0.48880624836427855,2.3413651769295427
CD,CLASSIC,LAI,E_soil,Symbolic regression,0.692085899011665,0.5548794456753307,0.14043831478949426,0.4102130049152577,2.2000667105652245
CD,LPJ-GUESS,LAI,E_soil,Equal-width bins,0.06734422321603406,1.0279068445027755,0.1447065575360703,0.6878557271707487,4.255479370483791
CD,LPJ-GUESS,LAI,E_soil,Equal-count bins,0.14394605887376455,0.9405141143241957,0.13240359330788848,0.5809856987665127,3.721572978225643
CD,LPJ-GUESS,LAI,E_soil,LOWESS,0.19262601049220862,0.8984967083930108,0.12648847152286077,0.5693026828511587,3.496787671013729
CD,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,0.07918474469443781,0.9595450431477586,0.13508272732815457,0.664556853295999,4.012483200794939
CD,LPJ-GUESS,LAI,E_soil,GAM,0.11330127339785323,0.9416015306423536,0.13255667748360997,0.6472814803215616,3.820140261478513
CD,LPJ-GUESS,LAI,E_soil,Piecewise linear,0.11280896937196527,0.9418628876770371,0.13259347077570557,0.6477566494673078,3.8388677318208866
