analysis_group,zone,model,x_label,y_label,method,shape_label,amplitude_norm_by_y_sd,normalized_total_variation,mean_standardized_absolute_slope,late_to_early_absolute_slope_ratio,r_squared,nrmse_by_sd,nrmse_by_raw_y_range,mean_buffer_width_by_sd,buffer_width95_by_sd
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,1.7376071684430694,1.6391040091516695,1.639104009151669,0.5371556783765954,0.3201881403677127,0.8244706888558762,0.1623485236971132,0.5963806172244875,3.486712682533373
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Piecewise linear,Monotonic nonlinear,1.7538346448724305,1.0,1.0000000000000002,0.0704631907157794,0.3198353862731146,0.8246845698646004,0.1623906395254653,0.5965183354850014,3.4682590905866464
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Symbolic regression,Non-monotonic: U-shaped / inverted-U,1.2779754876756837,1.4607740007721084,1.4607740007721086,0.2699166260585313,0.1599709921410321,0.9164905551933616,0.1804683788388743,0.5830277547683553,3.4557928118289514
all_zones_E_soil,CW,CLASSIC,P,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1.24347957431253,1.840366511120549,1.8305531717864023,0.6005302212125497,0.0393422134829063,0.9798366588893012,0.1687518460929088,0.7533132438161873,3.942485943722296
all_zones_E_soil,CW,CLASSIC,P,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,0.8383511703586808,2.4540840306060288,3.284880457851988,0.0563729179793717,0.0580294950245584,0.95407579064901,0.1643151942968502,0.7228554577165996,3.792795867662981
all_zones_E_soil,CW,CLASSIC,P,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,1.341023693061287,2.34450885076568,5.0600317783840065,0.3560946978567879,0.0805510249882315,0.9588565340719436,0.1651385552835998,0.7266291296684597,3.85296420337108
all_zones_E_soil,CW,CLASSIC,P,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,1.004925154205586,1.4430557645046735,1.4430557645046738,1.179404851971031,0.0440175955949715,0.977720598591932,0.1683874087365542,0.7637598431183532,3.954419637053519
all_zones_E_soil,CW,CLASSIC,P,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,1.6876885631602276,3.018944537536571,3.0189445375365707,33.00916536032349,0.0826125609280425,0.957780984191329,0.164953319278933,0.7401763106230356,3.8745964205987486
all_zones_E_soil,CW,CLASSIC,P,E_soil,Piecewise linear,Monotonic nonlinear,1.7489819112924492,1.0,1.0,2.4100448478809584,0.0446988954394286,0.97737214049686,0.1683273957269409,0.7631662960178864,3.9509377657265903
all_zones_E_soil,CW,CLASSIC,P,E_soil,Symbolic regression,Monotonic nonlinear,1.148309677313366,1.0,1.0,0.1773741296985772,0.0174110708501791,0.9912329926974756,0.1707145736060848,0.7644752969983546,4.021644898107961
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,2.5673823034003975,1.9597708003936565,1.8961793951385693,5.367105118405395,0.253098773265329,0.8617234922702787,0.1354594390336144,0.619630187762503,3.589442869593888
all_zones_E_soil,CW,LPJ-GUESS,P,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1.5128601141245506,1.174040379035977,1.113390943693792,11.69479397303684,0.1825715160145654,0.793533653874597,0.1247402729209019,0.5690485788357975,3.2308483795578065
