zone,model,x_label,y_label,method,amplitude_norm_by_y_sd,normalized_total_variation,mean_standardized_absolute_slope,late_to_early_absolute_slope_ratio
CW,LPJ-GUESS,P,E_soil,Polynomial degree 3,2.435973396884038,2.3328118690819895,2.33281186908199,3.217808862063427
CW,LPJ-GUESS,P,E_soil,GAM,2.678438362010493,1.652203389299128,1.6522033892991284,0.7013951601823241
CW,LPJ-GUESS,P,E_soil,Piecewise linear,3.5250194844140017,1.5227935785398494,1.5227935785398492,1.324634929840394
CW,LPJ-GUESS,P,E_soil,Symbolic regression,4.5443830350199255,1.63621311067285,1.63621311067285,1.9683617652840568
CW,CLASSIC,LAI,E_soil,Equal-width bins,1.8417021106240128,1.8290431131317728,1.8323562600491337,1.2596098067422403
CW,CLASSIC,LAI,E_soil,Equal-count bins,1.762378878071836,1.4664811924723338,1.8870652906199077,1.7729838223926315
CW,CLASSIC,LAI,E_soil,LOWESS,1.8877064872995712,1.5018303768095629,2.9160151837415857,0.987787217589541
CW,CLASSIC,LAI,E_soil,Polynomial degree 3,1.4243083150015072,2.109675648121069,2.1096756481210694,15.983991927965077
CW,CLASSIC,LAI,E_soil,GAM,1.492936899198982,1.7058385068188229,1.7058385068188229,9.29138641468498
CW,CLASSIC,LAI,E_soil,Piecewise linear,2.1327661411884664,1.2768634370248586,1.2768634370248586,43.349064246501925
CW,CLASSIC,LAI,E_soil,Symbolic regression,2.4420574874120016,2.328141351256334,2.328141351256334,0.5765557821817606
CW,LPJ-GUESS,LAI,E_soil,Equal-width bins,2.516776104265937,1.8527348584604235,1.803662428976602,11.937146976284229
CW,LPJ-GUESS,LAI,E_soil,Equal-count bins,1.03357905986082,2.471933818127673,2.561903403658947,1.397857633015818
CW,LPJ-GUESS,LAI,E_soil,LOWESS,1.4301552442433734,2.5006778889008845,2.522008131358639,0.3088488343451389
CW,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,1.6807533831820864,1.0808153096762156,1.0808153096762154,117.35276626503357
CW,LPJ-GUESS,LAI,E_soil,GAM,3.4400681635918064,1.89786392535622,1.8978639253562195,10.840909087673548
CW,LPJ-GUESS,LAI,E_soil,Piecewise linear,1.3360690652087968,1.2755499642382242,1.275549964238224,3.437492460761748
