property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range
Monotonicity,Monotonic,Non-monotonic,MIC-r2,0.0043,0.8502,0.8459,Monotonicity,Monotonic,0,0.0218,0.0123,-0.0403,0.0424,-0.0095,0.0358,0.0453,0.0826,1000,18.6902,68.6155,True,True
Monotonicity,Monotonic,Non-monotonic,r2,0.9706,0.8401,0.1305,Monotonicity,Monotonic,0,0.9708,0.0032,0.9589,0.9808,0.9642,0.9766,0.0124,0.0219,1000,10.5183,40.4919,True,True
Monotonicity,Monotonic,Non-monotonic,standardized early slope,0.8316,-1.8234,2.6551,Monotonicity,Monotonic,0,0.8906,0.0646,0.6758,1.1338,0.763,1.0238,0.2608,0.458,1000,10.1788,41.1234,True,True
Monotonicity,Monotonic,Non-monotonic,eta squared,0.9592,0.7957,0.1634,Monotonicity,Monotonic,0,0.9614,0.0041,0.9464,0.9745,0.9529,0.9691,0.0162,0.0281,1000,10.1084,39.4551,True,True
Monotonicity,Monotonic,Non-monotonic,amplitude,0.609,0.2327,0.3762,Monotonicity,Monotonic,0,0.6149,0.0116,0.5737,0.6518,0.5915,0.6373,0.0458,0.0781,1000,8.212,32.5265,True,True
Monotonicity,Monotonic,Non-monotonic,raw early slope,0.6377,-0.7406,1.3783,Monotonicity,Monotonic,0,0.678,0.0481,0.5298,0.8531,0.5787,0.7694,0.1907,0.3233,1000,7.2294,28.6804,True,True
Monotonicity,Monotonic,Non-monotonic,MAS,0.0515,0.546,0.4945,Monotonicity,Monotonic,0,0.0457,0.0187,0.0066,0.1295,0.0158,0.0873,0.0715,0.1229,1000,6.9181,26.4503,True,True
Monotonicity,Monotonic,Non-monotonic,standardized overall slope,0.879,0.0133,0.8657,Monotonicity,Monotonic,0,0.8935,0.0317,0.7968,0.9808,0.8271,0.954,0.1269,0.1839,1000,6.8223,27.3062,True,True
Monotonicity,Monotonic,Non-monotonic,curve amplitude,0.6674,0.2711,0.3963,Monotonicity,Monotonic,0,0.6794,0.0173,0.6125,0.7298,0.6451,0.7144,0.0693,0.1173,1000,5.717,22.8473,True,True
Monotonicity,Monotonic,Non-monotonic,buffer width mean,0.7213,1.7107,0.9894,Monotonicity,Monotonic,0,0.7321,0.0467,0.5864,0.8903,0.6483,0.8272,0.1789,0.304,1000,5.5311,21.1689,True,True
Monotonicity,Monotonic,Non-monotonic,early buffer width,0.6474,1.9184,1.271,Monotonicity,Monotonic,0,0.7326,0.0824,0.4874,0.9895,0.5852,0.9084,0.3232,0.5021,1000,3.9327,15.421,True,True
Monotonicity,Monotonic,Non-monotonic,late buffer width,0.7018,1.7545,1.0528,Monotonicity,Monotonic,0,0.7317,0.0737,0.5356,0.9709,0.6001,0.8809,0.2807,0.4354,1000,3.7501,14.2847,True,True
Monotonicity,Monotonic,Non-monotonic,standardized late slope,0.8908,1.7453,0.8545,Monotonicity,Monotonic,0,0.8915,0.0614,0.7033,1.1108,0.7729,1.0123,0.2394,0.4076,1000,3.569,13.9149,True,True
Monotonicity,Monotonic,Non-monotonic,MIC,0.9736,0.8505,0.1231,Monotonicity,Monotonic,0,0.9916,0.0125,0.9281,1.0,0.9582,1.0,0.0418,0.0719,1000,2.9433,9.8652,True,True
Monotonicity,Monotonic,Non-monotonic,MEV,0.9736,0.8505,0.1231,Monotonicity,Monotonic,0,0.9916,0.0125,0.9281,1.0,0.9582,1.0,0.0418,0.0719,1000,2.9433,9.8652,True,True
Monotonicity,Monotonic,Non-monotonic,raw middle slope,0.6203,0.1129,0.5074,Monotonicity,Monotonic,0,0.6817,0.0469,0.5553,0.8404,0.5909,0.7744,0.1836,0.2851,1000,2.7641,10.8125,True,True
Monotonicity,Monotonic,Non-monotonic,standardized middle slope,0.8089,0.278,0.5309,Monotonicity,Monotonic,0,0.896,0.0695,0.6906,1.1582,0.7629,1.0272,0.2643,0.4676,1000,2.0084,7.6433,True,True
Monotonicity,Monotonic,Non-monotonic,middle buffer width,0.8212,1.4446,0.6234,Monotonicity,Monotonic,0,0.7321,0.0824,0.5049,1.0567,0.5813,0.9025,0.3212,0.5518,1000,1.9409,7.5622,True,True
Non-linearity,Linear,Non-linear,raw overall slope,0.7141,1.1279,0.4138,Non-linearity,Linear,0,0.7201,0.0091,0.6952,0.7527,0.7032,0.7389,0.0358,0.0575,1000,11.5678,45.4663,True,True
Non-linearity,Linear,Non-linear,raw middle slope,0.6603,2.1059,1.4456,Non-linearity,Linear,0,0.7204,0.0457,0.5419,0.8838,0.6266,0.814,0.1874,0.3419,1000,7.7135,31.6345,True,True
Non-linearity,Linear,Non-linear,standardized middle slope,0.8209,2.1418,1.3209,Non-linearity,Linear,0,0.9021,0.0666,0.6718,1.1524,0.7691,1.0406,0.2715,0.4806,1000,4.8652,19.8253,True,True
Non-linearity,Linear,Non-linear,pearson r,0.9862,0.9599,0.0263,Non-linearity,Linear,0,0.9864,0.0014,0.9816,0.9914,0.9834,0.989,0.0056,0.0098,1000,4.7012,18.3859,True,True
Non-linearity,Linear,Non-linear,spearman rho,0.9865,0.9623,0.0241,Non-linearity,Linear,0,0.9871,0.0015,0.9824,0.9916,0.984,0.9898,0.0058,0.0092,1000,4.1885,16.4939,True,True
Non-linearity,Linear,Non-linear,amplitude,0.6452,0.8301,0.1849,Non-linearity,Linear,0,0.6519,0.0117,0.6155,0.6874,0.6296,0.6771,0.0475,0.0719,1000,3.8974,15.7495,True,True
Non-linearity,Linear,Non-linear,standardized late slope,0.8989,0.2286,0.6703,Non-linearity,Linear,0,0.9039,0.0613,0.7221,1.0999,0.7796,1.026,0.2464,0.3778,1000,2.7204,10.9328,True,True
Non-linearity,Linear,Non-linear,raw late slope,0.7231,0.2248,0.4983,Non-linearity,Linear,0,0.7222,0.048,0.5858,0.8999,0.6261,0.8139,0.1878,0.3141,1000,2.6539,10.3887,True,True
