property,case_a_source_property,case_b_source_property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,spearman_rho,0.9825,0.9438,0.0387,Convexity / Concavity,Convex,0,0.9459,0.0082,0.9184,0.9713,0.9295,0.9608,0.0314,0.0529,1000,1.2335,4.7158,True,False,0.0073
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,lowess_r2,0.965,0.9753,0.0103,Convexity / Concavity,Convex,0,0.9759,0.0026,0.9675,0.9841,0.9708,0.9807,0.0099,0.0166,1000,1.0396,3.9707,True,False,0.0004
Density,Density,Density,Even coverage,Uneven coverage,equal_width_bin_x_bin_count_cv,0.0,0.701,0.701,Density,Uneven coverage,1,0.6991,0.0369,0.583,0.8379,0.6274,0.7755,0.148,0.2549,1000,4.7356,18.9748,True,True,0.553
Direction,Direction,Direction,Positive direction,Negative direction,spearman_rho,0.9825,-0.9806,1.9631,Direction,Negative direction,1,-0.9812,0.0021,-0.9869,-0.9743,-0.985,-0.9768,0.0082,0.0127,1000,239.3989,927.6145,True,True,1.9549
Direction,Direction,Direction,Positive direction,Negative direction,pearson_r,0.9816,-0.9793,1.9609,Direction,Negative direction,1,-0.9802,0.0021,-0.986,-0.9736,-0.9841,-0.9759,0.0082,0.0124,1000,238.9048,920.9051,True,True,1.9527
Direction,Direction,Direction,Positive direction,Negative direction,standardized_overall_slope,0.9267,-0.9759,1.9026,Direction,Negative direction,1,-0.8738,0.0708,-1.0,-0.6689,-0.9991,-0.724,0.2751,0.3311,1000,6.9159,26.8604,True,True,1.6275
Direction,Direction,Direction,Positive direction,Negative direction,standardized_late_slope,1.1209,-0.9296,2.0505,Direction,Negative direction,1,-0.8774,0.2151,-1.5957,-0.0756,-1.2886,-0.4275,0.8611,1.5202,1000,2.3813,9.532,True,True,1.1894
Direction,Direction,Direction,Positive direction,Negative direction,raw_overall_slope,0.6814,-0.7346,1.416,Direction,Negative direction,1,-0.6794,0.0573,-0.8453,-0.4877,-0.7963,-0.569,0.2273,0.3576,1000,6.2298,24.6985,True,True,1.1887
Direction,Direction,Direction,Positive direction,Negative direction,standardized_early_slope,0.7887,-1.1673,1.956,Direction,Negative direction,1,-0.8742,0.2215,-1.4729,-0.1299,-1.3033,-0.4335,0.8699,1.343,1000,2.2487,8.8308,True,True,1.0861
Direction,Direction,Direction,Positive direction,Negative direction,standardized_middle_slope,1.2009,-0.6791,1.88,Direction,Negative direction,1,-0.876,0.2161,-1.5038,-0.2206,-1.2977,-0.452,0.8457,1.2833,1000,2.223,8.7013,True,True,1.0343
Direction,Direction,Direction,Positive direction,Negative direction,raw_late_slope,0.8242,-0.6997,1.5239,Direction,Negative direction,1,-0.6824,0.169,-1.2334,-0.0552,-1.0107,-0.3306,0.6802,1.1781,1000,2.2405,9.0179,True,True,0.8437
Direction,Direction,Direction,Positive direction,Negative direction,raw_early_slope,0.5799,-0.8787,1.4586,Direction,Negative direction,1,-0.6801,0.175,-1.1895,-0.0965,-1.0271,-0.3376,0.6895,1.093,1000,2.1154,8.3358,True,True,0.7691
Direction,Direction,Direction,Positive direction,Negative direction,raw_middle_slope,0.883,-0.5112,1.3942,Direction,Negative direction,1,-0.6806,0.1672,-1.2318,-0.1809,-1.0198,-0.3573,0.6625,1.0509,1000,2.1045,8.3392,True,True,0.7317
Heteroscedasticity,Heteroscedasticity,Heteroscedasticity,Constant spread,Changing spread,equal_width_bin_late_buffer_width,0.1959,0.4981,0.3022,Heteroscedasticity,Changing spread,1,0.4422,0.0397,0.3209,0.5929,0.3656,0.5221,0.1564,0.272,1000,1.9317,7.6108,True,True,0.1458
Heteroscedasticity,Heteroscedasticity,Heteroscedasticity,Constant spread,Changing spread,lowess_r2,0.8934,0.653,0.2404,Heteroscedasticity,Changing spread,1,0.7309,0.0353,0.5848,0.8383,0.6594,0.7966,0.1372,0.2535,1000,1.7521,6.8182,True,False,0.1032
Heteroscedasticity,Heteroscedasticity,Heteroscedasticity,Constant spread,Changing spread,equal_width_bin_buffer_width_mean,0.2101,0.3528,0.1427,Heteroscedasticity,Changing spread,1,0.3156,0.0199,0.2551,0.3852,0.2773,0.3555,0.0782,0.1301,1000,1.8244,7.188,True,True,0.0645
Heteroscedasticity,Heteroscedasticity,Heteroscedasticity,Constant spread,Changing spread,distance_correlation,0.9341,0.8014,0.1327,Heteroscedasticity,Changing spread,1,0.843,0.021,0.7594,0.9016,0.8014,0.8815,0.0801,0.1422,1000,1.6565,6.3047,True,False,0.0526
Heteroscedasticity,Heteroscedasticity,Heteroscedasticity,Constant spread,Changing spread,pearson_r,0.9444,0.8148,0.1296,Heteroscedasticity,Changing spread,1,0.852,0.0209,0.7593,0.9118,0.8098,0.8897,0.0799,0.1525,1000,1.6226,6.2119,True,False,0.0497
Heteroscedasticity,Heteroscedasticity,Heteroscedasticity,Constant spread,Changing spread,spearman_rho,0.9482,0.8248,0.1234,Heteroscedasticity,Changing spread,1,0.8673,0.0201,0.7731,0.9222,0.8259,0.9023,0.0764,0.149,1000,1.6143,6.1257,True,False,0.047
Heteroscedasticity,Heteroscedasticity,Heteroscedasticity,Constant spread,Changing spread,lowess_residual_sd,0.0686,0.1397,0.0711,Heteroscedasticity,Changing spread,1,0.1171,0.0077,0.0951,0.1398,0.1018,0.1328,0.031,0.0446,1000,2.2922,9.2407,True,True,0.0401
Heteroscedasticity,Heteroscedasticity,Heteroscedasticity,Constant spread,Changing spread,MIC,0.8688,0.6551,0.2137,Heteroscedasticity,Changing spread,1,0.7428,0.0508,0.5865,0.9076,0.6461,0.8455,0.1994,0.3211,1000,1.0716,4.2047,True,False,0.0143
Heteroscedasticity,Heteroscedasticity,Heteroscedasticity,Constant spread,Changing spread,MEV,0.8688,0.6551,0.2137,Heteroscedasticity,Changing spread,1,0.7428,0.0508,0.5865,0.9076,0.6461,0.8455,0.1994,0.3211,1000,1.0716,4.2047,True,False,0.0143
Monotonicity,Monotonicity,Monotonicity,Monotonic,Non-monotonic,standardized_early_slope,0.8186,-2.8714,3.69,Monotonicity,Monotonic,0,0.8647,0.2252,0.149,1.4735,0.4424,1.3064,0.864,1.3245,1000,4.2708,16.3882,True,True,2.826
Monotonicity,Monotonicity,Monotonicity,Monotonic,Non-monotonic,raw_early_slope,0.6119,-1.2004,1.8123,Monotonicity,Monotonic,0,0.6713,0.1789,0.1184,1.2054,0.3449,1.0252,0.6804,1.0871,1000,2.6636,10.1276,True,True,1.1319
Monotonicity,Monotonicity,Monotonicity,Monotonic,Non-monotonic,lowess_first_derivative_sign_changes,0.0,1.0,1.0,Monotonicity,Monotonic,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,,,True,True,1.0
Monotonicity,Monotonicity,Monotonicity,Monotonic,Non-monotonic,pearson_r,0.9803,-0.0017,0.982,Monotonicity,Monotonic,0,0.9803,0.0022,0.9732,0.9877,0.9757,0.9842,0.0086,0.0145,1000,114.719,440.3285,True,True,0.9734
Monotonicity,Monotonicity,Monotonicity,Monotonic,Non-monotonic,spearman_rho,0.9807,0.0115,0.9692,Monotonicity,Monotonic,0,0.9813,0.0022,0.973,0.9878,0.9767,0.9853,0.0085,0.0148,1000,113.4383,437.6383,True,True,0.9607
Monotonicity,Monotonicity,Monotonicity,Monotonic,Non-monotonic,MIC_minus_r2,0.0098,0.7921,0.7823,Monotonicity,Monotonic,0,0.0232,0.0182,-0.0371,0.052,-0.0203,0.0457,0.066,0.0891,1000,11.8606,43.0225,True,True,0.7163
