model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples,hsic
LPJ-GUESS,2008,HW,lai,tran,0.4796059520504068,0.7822781183477697,13278,0.0010412877654609174
LPJ-GUESS,2008,HW,precipitation,evapotrans,0.3405878554207281,0.6044857241891197,13278,0.023722089394484412
LPJ-GUESS,2008,HW,precipitation,evspsblsoi,0.10435880807503836,0.29744758518937925,13278,0.0004629105815890093
LPJ-GUESS,2008,HW,precipitation,evspsblveg,0.3829661515613301,0.6170544128615683,13278,0.002244714818590475
LPJ-GUESS,2008,HW,precipitation,tran,0.28185676844259544,0.5091281302344488,13278,0.010604425845677137
LPJ-GUESS,2009,CD,lai,evapotrans,0.4943992952192222,0.7227166398222282,10735,0.0011154531481237732
LPJ-GUESS,2009,CD,lai,evspsblsoi,0.22607585005978484,0.4921112912304988,10735,0.0005717312560548882
LPJ-GUESS,2009,CD,lai,evspsblveg,0.6153802586259984,0.7600533072434881,10735,0.057657123471509156
LPJ-GUESS,2009,CD,lai,tran,0.5822960991801278,0.8767587010240785,10735,0.02230685025304638
LPJ-GUESS,2009,CD,precipitation,evapotrans,0.2561665831027003,0.48967803153505945,10735,0.015990578001064456
LPJ-GUESS,2009,CD,precipitation,evspsblsoi,0.18712918854997984,0.4548820882978198,10735,0.003268098401243608
LPJ-GUESS,2009,CD,precipitation,evspsblveg,0.25192000762378475,0.4705712097517736,10735,5.967750585499867e-05
LPJ-GUESS,2009,CD,precipitation,tran,0.22063150673054208,0.4639482227594001,10735,0.01041415878100649
LPJ-GUESS,2009,CW,lai,evapotrans,0.3501753600407299,0.784594093223637,22339,0.0011283894630093542
LPJ-GUESS,2009,CW,lai,evspsblsoi,0.15783923543551243,0.39107050417825145,22339,0.00037489035686413716
LPJ-GUESS,2009,CW,lai,evspsblveg,0.5470273152809382,0.8495912239908021,22339,0.021646653495646005
LPJ-GUESS,2009,CW,lai,tran,0.3711695421045842,0.8551868391762435,22339,0.0012594158702409009
LPJ-GUESS,2009,CW,precipitation,evapotrans,0.279145224654459,0.5468090319658467,22339,0.021307609102034157
LPJ-GUESS,2009,CW,precipitation,evspsblsoi,0.14574537460248324,0.43548502217979695,22339,0.001410840497796064
LPJ-GUESS,2009,CW,precipitation,evspsblveg,0.2423878265017245,0.5524503536957157,22339,0.0004997539570610069
LPJ-GUESS,2009,CW,precipitation,tran,0.2545666725034102,0.5476121125829335,22339,0.01417951061718135
LPJ-GUESS,2009,HD,lai,evapotrans,0.48712547791805305,0.790978718350551,11879,0.0006872527170049285
LPJ-GUESS,2009,HD,lai,evspsblsoi,0.18993382487784377,0.559233565273636,11879,0.0009555447221957997
LPJ-GUESS,2009,HD,lai,evspsblveg,0.5789225560881425,0.8155592743100109,11879,0.05014259374063989
LPJ-GUESS,2009,HD,lai,tran,0.5850284206943017,0.8685077335637147,11879,0.0009582719333600585
LPJ-GUESS,2009,HD,precipitation,evapotrans,0.4968987782589826,0.6430724167907433,11879,0.0628227978024919
LPJ-GUESS,2009,HD,precipitation,evspsblsoi,0.27617711931908795,0.49179457090736295,11879,0.00700166507148287
LPJ-GUESS,2009,HD,precipitation,evspsblveg,0.47997920771908664,0.6678219748343497,11879,0.00012978360203247922
LPJ-GUESS,2009,HD,precipitation,tran,0.4609880251414451,0.6344567023391263,11879,0.04614626971345544
LPJ-GUESS,2009,HW,lai,evapotrans,0.4246558274652358,0.7041161212966531,13284,0.0008590325350063622
LPJ-GUESS,2009,HW,lai,evspsblsoi,0.15792528741887152,0.23848833233754962,13284,0.00047864738193562095
LPJ-GUESS,2009,HW,lai,evspsblveg,0.4700111421294936,0.7578435810693698,13284,0.0052109356243267065
LPJ-GUESS,2009,HW,lai,tran,0.46724114162159025,0.7558934762911713,13284,0.0010607276010739706
LPJ-GUESS,2009,HW,precipitation,evapotrans,0.3149905014009148,0.565360286785712,13284,0.0182811733444683
LPJ-GUESS,2009,HW,precipitation,evspsblsoi,0.08975872745735686,0.23690102589513481,13284,0.000282281325855099
LPJ-GUESS,2009,HW,precipitation,evspsblveg,0.36697806184945825,0.6216963260678505,13284,0.0014520531671108484
LPJ-GUESS,2009,HW,precipitation,tran,0.2510591940970298,0.4341824343751339,13284,0.010143386605250673
LPJ-GUESS,2010,CD,lai,evapotrans,0.4820242411550113,0.7120526112094132,10721,0.0010823111456950724
LPJ-GUESS,2010,CD,lai,evspsblsoi,0.16229636435652833,0.47298004195977483,10721,0.0005265722165821284
LPJ-GUESS,2010,CD,lai,evspsblveg,0.6085417533575905,0.7616805906109784,10721,0.053037823636175305
LPJ-GUESS,2010,CD,lai,tran,0.5863694945197526,0.8631720083559689,10721,0.01988956954726209
LPJ-GUESS,2010,CD,precipitation,evapotrans,0.22137153460618075,0.4398792972620041,10721,0.015365909168116604
LPJ-GUESS,2010,CD,precipitation,evspsblsoi,0.1656380448835892,0.3641993430385615,10721,0.00161525977125418
LPJ-GUESS,2010,CD,precipitation,evspsblveg,0.20942690633254532,0.4232278620154173,10721,6.26252036686634e-05
LPJ-GUESS,2010,CD,precipitation,tran,0.19474389482447452,0.4184544134883302,10721,0.00884132138255778
LPJ-GUESS,2010,CW,lai,evapotrans,0.3438597529752291,0.7884197743933382,22416,0.0009750144070339525
